Sl. No.,State/UT,Rural Areas - Total No. of Schools,Rural Areas - ICT Lab (in Schools having Classes VI and Above),Rural Areas - PCs with Integrated Teaching Learning Device,Rural Areas - At least one Computer,Rural Areas - Digital Board,Urban Areas - Total No. of Schools,Urban Areas - ICT Lab (in Schools having Classes VI and Above),Urban Areas - PCs with Integrated Teaching Learning Device,Urban Areas - At least one computer,Urban Areas - Digital Board
1,Andaman and Nicobar,311,74,16,161,11,33,24,6,28,4
2,Andhra Pradesh,42259,3134,2724,5181,494,5090,579,598,1035,184
3,Arunachal Pradesh,2851,88,52,316,15,270,30,23,101,8
4,Assam,49775,2375,606,3594,474,2406,519,146,758,110
5,Bihar,68867,880,137,1103,81,4464,210,66,398,37
6,Chandigarh,16,13,6,15,5,112,97,39,112,16
7,Chhattisgarh,45650,977,847,5142,691,3328,246,199,844,158
8,Dadra and Nagar Haveli and Daman and Diu,363,47,47,313,143,54,20,5,54,9
9,Delhi,143,45,26,136,7,2874,1172,845,2693,477
10,Goa,1085,191,131,414,46,259,76,49,154,20
11,Gujarat,35966,4123,5364,23234,4276,4762,1306,1378,3789,1225
12,Haryana,12968,2708,743,3599,402,1533,331,115,483,92
13,Himachal Pradesh,15030,2076,1290,2935,1471,368,113,83,130,63
14,Jammu and Kashmir,21434,1120,453,2296,784,1732,230,116,423,180
15,Jharkhand,35173,1001,491,1369,386,1931,250,127,406,107
16,Karnataka,47039,5191,1761,9683,3982,10039,1501,939,3525,1423
17,Kerala,9967,3633,1068,8269,995,2240,1029,281,1981,270
18,Ladakh,901,54,33,199,60,41,7,1,17,6
19,Lakshadweep,33,13,16,32,12,12,7,8,12,4
20,Madhya Pradesh,93877,318,235,2282,116,6324,157,166,965,116
21,Maharashtra,74083,6541,12692,42695,4352,15594,2873,4897,11460,2885
22,Manipur,3112,79,29,276,12,349,33,11,92,2
23,Meghalaya,11230,205,121,930,102,749,74,57,294,31
24,Mizoram,2025,85,27,599,3,758,89,52,400,22
25,Nagaland,1827,61,47,537,10,184,9,18,82,2
26,Odisha,55871,3501,1590,11075,3566,3228,467,280,1284,502
27,Puducherry,251,74,80,229,74,204,78,68,172,53
28,Punjab,17515,4793,1509,9107,168,2319,864,254,1314,74
29,Rajasthan,64356,10107,3116,17281,1404,3304,992,350,1521,193
30,Sikkim,841,168,77,431,42,29,11,6,20,5
31,Tamil Nadu,36775,5124,3850,15644,1051,9132,1593,1503,5310,775
32,Telangana,25249,2039,1792,4980,321,5454,641,496,1775,151
33,Tripura,4016,133,32,256,27,304,51,25,114,16
34,Uttar Pradesh,138772,2415,837,5944,548,6914,726,269,1511,128
35,Uttarakhand,16487,582,306,3722,107,871,128,60,391,30
36,West Bengal,73453,3387,1845,7307,508,10096,836,684,2217,175
